"A0_accX_x","A0_accX_y","A1_rmsX_x","A1_rmsX_y"
0,2.144841951,0,4.38516353,
2e-05,2.87570254,2e-05,4.750593824,
4e-05,3.606563128,4e-05,4.750593824,
6e-05,3.606563128,6e-05,4.38516353,
8e-05,3.241132834,8e-05,4.750593824,
0.0001,3.606563128,0.0001,4.38516353,
0.00012,2.87570254,0.00012,4.019733236,
0.00014,3.606563128,0.00014,4.750593824,
0.00016,2.87570254,0.00016,4.750593824,
0.00018,3.241132834,0.00018,4.38516353,
0.0002,2.87570254,0.0002,4.019733236,
0.00022,0.6831207747,0.00022,4.38516353,
0.00024,3.606563128,0.00024,4.38516353,
0.00026,0.6831207747,0.00026,4.38516353,
0.00028,1.779411657,0.00028,4.38516353,
0.0003,1.048551069,0.0003,4.38516353,
0.00032,1.048551069,0.00032,4.750593824,
0.00034,-1.144030696,0.00034,4.750593824,
0.00036,-0.778600402,0.00036,4.38516353,
0.00038,-1.50946099,0.00038,4.38516353,
0.0004,-1.144030696,0.0004,4.38516353,
0.00042,-2.605751873,0.00042,4.38516353,
0.00044,-2.971182167,0.00044,4.38516353,
0.00046,-2.971182167,0.00046,4.38516353,
0.00048,-1.874891284,0.00048,4.019733236,
0.0005,-2.605751873,0.0005,4.750593824,
0.00052,-3.336612461,0.00052,4.38516353,
0.00054,-3.336612461,0.00054,4.38516353,
0.00056,-2.240321579,0.00056,4.38516353,
0.00058,-3.702042755,0.00058,4.750593824,
0.0006,-2.971182167,0.0006,4.38516353,
0.00062,-2.605751873,0.00062,4.38516353,
0.00064,-3.336612461,0.00064,4.750593824,
0.00066,-2.971182167,0.00066,4.019733236,
0.00068,-2.605751873,0.00068,4.750593824,
0.0007,-0.04773981363,0.0007,4.38516353,
0.00072,-0.778600402,0.00072,4.38516353,
0.00074,0.3176904805,0.00074,4.019733236,
0.00076,-1.144030696,0.00076,4.38516353,
0.00078,-0.778600402,0.00078,4.38516353,
0.0008,0.6831207747,0.0008,3.654302942,
0.00082,2.510272246,0.00082,5.116024118,
0.00084,3.606563128,0.00084,4.019733236,
0.00086,1.779411657,0.00086,4.38516353,
0.00088,2.87570254,0.00088,4.38516353,
0.0009,2.87570254,0.0009,4.38516353,
0.00092,2.144841951,0.00092,4.019733236,
0.00094,3.241132834,0.00094,4.750593824,
0.00096,3.606563128,0.00096,4.38516353,
0.00098,3.241132834,0.00098,4.38516353,
0.001,3.606563128,0.001,4.38516353,
0.00102,4.702854011,0.00102,4.019733236,
0.00104,3.606563128,0.00104,4.38516353,
0.00106,4.337423716,0.00106,4.750593824,
0.00108,3.606563128,0.00108,4.38516353,
0.0011,3.241132834,0.0011,4.019733236,
0.00112,2.510272246,0.00112,4.750593824,
0.00114,3.241132834,0.00114,4.019733236,
0.00116,2.510272246,0.00116,4.38516353,
0.00118,1.048551069,0.00118,4.019733236,
0.0012,-0.04773981363,0.0012,4.019733236,
0.00122,0.3176904805,0.00122,3.288872648,
0.00124,0.6831207747,0.00124,4.38516353,
