"A0_accX_x","A0_accX_y","A1_rmsX_x","A1_rmsX_y"
0,-0.597478531,0,72.72062854,
2e-05,-0.2320482368,2e-05,73.08605883,
4e-05,0.8642426457,4e-05,72.35519825,
6e-05,1.22967294,6e-05,73.81691942,
8e-05,-1.693769413,8e-05,72.72062854,
0.0001,-0.597478531,0.0001,73.45148913,
0.00012,-0.2320482368,0.00012,72.72062854,
0.00014,-2.059199708,0.00014,73.45148913,
0.00016,-0.9629088251,0.00016,72.72062854,
0.00018,-0.597478531,0.00018,73.45148913,
0.0002,-0.9629088251,0.0002,73.08605883,
0.00022,0.8642426457,0.00022,73.08605883,
0.00024,0.8642426457,0.00024,73.08605883,
0.00026,0.1333820574,0.00026,73.08605883,
0.00028,1.595103234,0.00028,72.72062854,
0.0003,1.595103234,0.0003,73.45148913,
0.00032,0.4988123515,0.00032,72.72062854,
0.00034,1.22967294,0.00034,72.72062854,
0.00036,1.595103234,0.00036,73.08605883,
0.00038,1.22967294,0.00038,73.08605883,
0.0004,1.22967294,0.0004,73.08605883,
0.00042,1.960533528,0.00042,72.35519825,
0.00044,1.22967294,0.00044,72.35519825,
0.00046,1.22967294,0.00046,73.08605883,
0.00048,0.4988123515,0.00048,73.08605883,
0.0005,0.4988123515,0.0005,72.35519825,
0.00052,2.325963822,0.00052,72.72062854,
0.00054,1.595103234,0.00054,73.08605883,
0.00056,2.691394117,0.00056,72.72062854,
0.00058,1.960533528,0.00058,72.72062854,
0.0006,0.8642426457,0.0006,72.35519825,
0.00062,1.22967294,0.00062,72.72062854,
0.00064,1.595103234,0.00064,72.72062854,
0.00066,0.8642426457,0.00066,72.72062854,
0.00068,-0.2320482368,0.00068,72.35519825,
0.0007,-0.2320482368,0.0007,72.72062854,
0.00072,0.1333820574,0.00072,72.35519825,
0.00074,0.4988123515,0.00074,71.98976795,
0.00076,0.4988123515,0.00076,72.72062854,
0.00078,1.595103234,0.00078,73.08605883,
0.0008,1.960533528,0.0008,72.35519825,
0.00082,0.8642426457,0.00082,71.98976795,
0.00084,-2.059199708,0.00084,73.45148913,
0.00086,-0.9629088251,0.00086,72.35519825,
0.00088,1.960533528,0.00088,73.81691942,
0.0009,-1.328339119,0.0009,72.35519825,
0.00092,1.595103234,0.00092,71.98976795,
0.00094,-3.520920884,0.00094,73.81691942,
0.00096,-0.2320482368,0.00096,73.81691942,
0.00098,-1.328339119,0.00098,71.98976795,
0.001,0.4988123515,0.001,73.08605883,
0.00102,0.1333820574,0.00102,71.98976795,
0.00104,-0.597478531,0.00104,71.98976795,
0.00106,0.4988123515,0.00106,73.08605883,
0.00108,-0.2320482368,0.00108,72.72062854,
0.0011,-0.597478531,0.0011,71.98976795,
0.00112,-0.9629088251,0.00112,72.72062854,
0.00114,-0.597478531,0.00114,72.35519825,
0.00116,0.1333820574,0.00116,71.98976795,
0.00118,-0.597478531,0.00118,72.72062854,
0.0012,-0.9629088251,0.0012,72.72062854,
0.00122,0.8642426457,0.00122,72.72062854,
0.00124,1.22967294,0.00124,72.35519825,
0.00126,0.4988123515,0.00126,72.72062854,
0.00128,1.960533528,0.00128,72.35519825,
0.0013,1.595103234,0.0013,72.72062854,
